EmployeeID,Department,Age,Experience,Salary
1,Sales,34,10,85000
2,Marketing,28,5,65000
3,Engineering,45,20,150000
4,Engineering,31,7,110000
5,Sales,25,2,55000
6,HR,38,12,78000
7,Marketing,41,15,92000
8,Engineering,105,30,250000
9,Sales,29,6,71000
10,HR,33,9,74000
11,Marketing,36,11,88000
12,Engineering,49,25,180000
13,Sales,22,1,900000
14,HR,42,18,95000
15,Marketing,30,8,81000
16,Sales,35,10,86000
17,Marketing,27,4,64000
18,Engineering,46,21,155000
19,Engineering,32,8,112000
20,Sales,26,3,57000
21,HR,39,13,80000
22,Marketing,40,14,91000
23,Engineering,5,35,260000
24,Sales,28,5,70000
25,HR,34,10,76000
